epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,32777.2,0.66513,0.50558,1.12601,0.78347,0.76393,0.81466,0.67084,0.69591,0.70928,1.09719,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429
41,33606.6,0.66253,0.50134,1.12108,0.80771,0.76018,0.81742,0.67486,0.69118,0.69435,1.09495,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
42,34412.5,0.65473,0.49599,1.11895,0.79683,0.76397,0.80986,0.66667,0.69634,0.69694,1.09846,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143
43,35218.2,0.64762,0.48848,1.11062,0.79882,0.75779,0.8106,0.668,0.68538,0.68328,1.09392,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
44,36024.9,0.64311,0.48216,1.1076,0.78858,0.76571,0.80275,0.66408,0.67772,0.68688,1.08811,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857
45,36833.9,0.63497,0.47506,1.10457,0.79869,0.76415,0.80505,0.66637,0.67997,0.68737,1.08541,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
46,37638.4,0.62674,0.46362,1.09747,0.79344,0.76743,0.80907,0.6703,0.67702,0.68187,1.08406,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571
47,38441.9,0.62032,0.46153,1.08955,0.80277,0.77154,0.80907,0.67035,0.67312,0.66845,1.08242,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
48,39238.3,0.61559,0.45427,1.0884,0.79528,0.77246,0.80608,0.6684,0.67258,0.67786,1.08087,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286
49,40018.9,0.60679,0.44669,1.0795,0.80552,0.766,0.80244,0.6676,0.67044,0.68627,1.08174,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143
50,40795.8,0.60048,0.44173,1.07573,0.79256,0.76571,0.80038,0.66812,0.66958,0.69333,1.08198,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
51,41573.1,0.59081,0.4296,1.06784,0.7988,0.76171,0.80061,0.66669,0.6692,0.69339,1.07996,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
52,42349.7,0.58735,0.42551,1.06751,0.80137,0.76068,0.7989,0.66584,0.66613,0.69093,1.07621,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714
53,43126.8,0.57975,0.41871,1.06191,0.8018,0.75835,0.79617,0.66366,0.66443,0.69248,1.0746,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571
54,43903.4,0.57634,0.41648,1.06148,0.80701,0.75503,0.79344,0.66141,0.66369,0.69312,1.07521,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429
55,44679.8,0.57019,0.40919,1.05464,0.81026,0.75495,0.79439,0.66172,0.66547,0.69108,1.07727,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286
56,45455.9,0.56253,0.40141,1.04651,0.81255,0.75316,0.7954,0.66355,0.66447,0.69122,1.0777,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143
57,46232.1,0.56023,0.39981,1.04949,0.80856,0.75637,0.79683,0.66551,0.66521,0.69127,1.07967,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
58,47008,0.55158,0.39263,1.04667,0.81156,0.75503,0.79938,0.66835,0.66486,0.69012,1.07919,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857
59,47783.6,0.54528,0.38635,1.03577,0.80889,0.75668,0.80045,0.6696,0.66344,0.69312,1.07843,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714
